MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555223103	3555223312
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555226449	3555226592
MALLOC	0x60000245c000	25	1	src/server.c:174:14	3555233358	3555233517
MALLOC	0x600003140000	56	1	src/logger.c:62:27	3555233816	3555233929
FREE	0x600003140000	0	0	src/logger.c:71:5	3555236196	3555236306
MALLOC	0x600002644120	12	1	src/smtp.c:86:41	3555273444	3555273542
FREE	0x60000245c000	0	0	src/server.c:186:4	3555275496	3555275610
MALLOC	0x600002a5c000	40	1	src/logger.c:62:27	3555284832	3555285070
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555288285	3555288410
MALLOC	0x60000245c000	26	1	src/server.c:174:14	3555292951	3555293108
MALLOC	0x600003140000	57	1	src/logger.c:62:27	3555293467	3555293581
FREE	0x600003140000	0	0	src/logger.c:71:5	3555295726	3555295831
MALLOC	0x60000245c080	32	1	src/smtp.c:109:48	3555326433	3555326549
FREE	0x60000245c000	0	0	src/server.c:186:4	3555328257	3555328389
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555336733	3555336899
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555340050	3555340166
MALLOC	0x7fb86e704530	1001	1	src/server.c:174:14	3555372123	3555372876
MALLOC	0x7fb86e811800	1032	1	src/logger.c:62:27	3555373912	3555374497
FREE	0x7fb86e811800	0	0	src/logger.c:71:5	3555379608	3555379957
MALLOC	0x7fb86e808800	1017	1	src/smtp.c:171:43	3555380414	3555380588
FREE	0x7fb86e704530	0	0	src/server.c:186:4	3555381006	3555381496
MALLOC	0x600002451140	32	1	src/logger.c:62:27	3555386217	3555386490
FREE	0x600002451140	0	0	src/logger.c:71:5	3555389354	3555389543
MALLOC	0x600002654320	2	1	src/server.c:174:14	3555389919	3555390062
MALLOC	0x600002a502a0	33	1	src/logger.c:62:27	3555390379	3555390517
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3555392606	3555392724
