FREE	0x600003b11120	0	0	src/server.c:186:4	23734313106	23734313211
MALLOC	0x600003510270	40	1	src/logger.c:62:27	23734354164	23734354460
FREE	0x600003510270	0	0	src/logger.c:71:5	23734358703	23734358816
MALLOC	0x600003b11120	26	1	src/server.c:174:14	23747298771	23747299152
MALLOC	0x600002e101c0	57	1	src/logger.c:62:27	23747299847	23747300005
FREE	0x600002e101c0	0	0	src/logger.c:71:5	23747304820	23747304989
MALLOC	0x600003b11160	32	1	src/smtp.c:109:48	23747341985	23747342088
FREE	0x600003b11120	0	0	src/server.c:186:4	23747344137	23747344225
MALLOC	0x6000035102a0	37	1	src/logger.c:62:27	23747353551	23747353715
FREE	0x6000035102a0	0	0	src/logger.c:71:5	23747357211	23747357324
MALLOC	0x600003b14000	25	1	src/server.c:174:14	23748141400	23748141844
MALLOC	0x600002e14040	56	1	src/logger.c:62:27	23748142565	23748142728
FREE	0x600002e14040	0	0	src/logger.c:71:5	23748148379	23748148601
MALLOC	0x6000039180f0	12	1	src/smtp.c:86:41	23748193979	23748194081
FREE	0x600003b14000	0	0	src/server.c:186:4	23748196246	23748196354
MALLOC	0x600003514000	40	1	src/logger.c:62:27	23748207275	23748207450
FREE	0x600003514000	0	0	src/logger.c:71:5	23748211132	23748211255
MALLOC	0x600003b11120	25	1	src/server.c:174:14	23748884261	23748884829
MALLOC	0x600002e101c0	56	1	src/logger.c:62:27	23748885557	23748885705
FREE	0x600002e101c0	0	0	src/logger.c:71:5	23748905540	23748905780
MALLOC	0x600003914220	12	1	src/smtp.c:86:41	23748949395	23748949523
FREE	0x600003b11120	0	0	src/server.c:186:4	23748951717	23748951813
MALLOC	0x6000035102a0	40	1	src/logger.c:62:27	23748965945	23748966121
FREE	0x6000035102a0	0	0	src/logger.c:71:5	23748969994	23748970108
MALLOC	0x600003b11120	26	1	src/server.c:174:14	23748975403	23748975540
MALLOC	0x600002e101c0	57	1	src/logger.c:62:27	23749002483	23749002587
FREE	0x600002e101c0	0	0	src/logger.c:71:5	23749004881	23749004984
MALLOC	0x600003b11180	32	1	src/smtp.c:109:48	23749049540	23749049648
FREE	0x600003b11120	0	0	src/server.c:186:4	23749051482	23749051572
MALLOC	0x600003510270	37	1	src/logger.c:62:27	23749084298	23749084461
FREE	0x600003510270	0	0	src/logger.c:71:5	23749087498	23749087637
MALLOC	0x600003b11120	26	1	src/server.c:174:14	23749093075	23749093196
MALLOC	0x600002e101c0	57	1	src/logger.c:62:27	23749093476	23749093574
FREE	0x600002e101c0	0	0	src/logger.c:71:5	23749095623	23749095749
MALLOC	0x600003b111a0	32	1	src/smtp.c:109:48	23749158018	23749158124
FREE	0x600003b11120	0	0	src/server.c:186:4	23749159739	23749159831
MALLOC	0x6000035102a0	37	1	src/logger.c:62:27	23749184159	23749184292
FREE	0x6000035102a0	0	0	src/logger.c:71:5	23749187100	23749187218
